Id,SalePrice
1461,112551.32
1462,146748.92
1463,165134.95
1464,193233.8
1465,180252.0
1466,171331.02
1467,182923.72
1468,164603.52
1469,203081.61
1470,122628.59
1471,203102.55
1472,103164.64
1473,98414.734
1474,171675.42
1475,112596.22
1476,371245.8
1477,273482.28
1478,337680.62
1479,325470.75
1480,430467.3
1481,349191.34
1482,244635.84
1483,172080.84
1484,192355.53
1485,209454.02
1486,190765.19
1487,316831.7
1488,242519.95
1489,192135.22
1490,192209.52
1491,202565.9
1492,101484.66
1493,229554.12
1494,331659.3
1495,329398.9
1496,223331.64
1497,192783.11
1498,181941.34
1499,182793.88
1500,176703.53
1501,171546.12
1502,197208.19
1503,269024.5
1504,252159.25
1505,206955.39
1506,177180.7
1507,221905.11
1508,199566.45
1509,139873.53
1510,128054.17
1511,109720.56
1512,134439.38
1513,170041.84
1514,158197.19
1515,187760.78
1516,139980.7
1517,189137.08
1518,135143.03
1519,214183.08
1520,137600.92
1521,136439.33
1522,146250.53
1523,114554.055
1524,128654.69
1525,128091.164
1526,133447.03
1527,115597.14
1528,150918.53
1529,136719.55
1530,205091.7
1531,109240.87
1532,90119.4
1533,96536.81
1534,148343.58
1535,145424.1
1536,102790.59
1537,66369.85
1538,86057.56
1539,225409.6
1540,114239.055
1541,146132.28
1542,130025.7
1543,148597.55
1544,61080.027
1545,103449.22
1546,141296.92
1547,82623.91
1548,119019.125
1549,117481.38
1550,128429.36
1551,114655.06
1552,133529.45
1553,77621.01
1554,135122.88
1555,151947.77
1556,115096.63
1557,103295.7
1558,115219.32
1559,120815.9
1560,153858.97
1561,96034.0
1562,117332.164
1563,116839.18
1564,157673.88
1565,136223.67
1566,245044.77
1567,82338.31
1568,205819.66
1569,165599.4
1570,134485.8
1571,136300.77
1572,149805.8
1573,215833.97
1574,122518.37
1575,138325.42
1576,265433.06
1577,178528.72
1578,160862.81
1579,142364.03
1580,194314.1
1581,123482.85
1582,132363.75
1583,287711.25
1584,222794.95
1585,148945.22
1586,106787.01
1587,117404.72
1588,146663.94
1589,114233.195
1590,138637.11
1591,100332.83
1592,121821.7
1593,147611.69
1594,107188.336
1595,119030.766
1596,186149.06
1597,189549.28
1598,214567.61
1599,217308.31
1600,212869.72
1601,77636.7
1602,113269.51
1603,112349.78
1604,252031.9
1605,268004.12
1606,167436.47
1607,168357.8
1608,223087.77
1609,191200.69
1610,140550.11
1611,142854.55
1612,159197.56
1613,155859.44
1614,114519.47
1615,79693.28
1616,83595.305
1617,92472.484
1618,134873.89
